"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-06",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-07",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-08",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-09",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-10",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-11",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-12",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-13",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-14",,,"0.20","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-15",,,"0.15","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-16",,,"0.18","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-17",,,"0.27","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-18",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-19",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-20",,,"0.09","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-21",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-22",,,"0.52","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-23",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-24",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-25",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-26",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-27",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-28",,,,"0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-29","    2","0.20",,"0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-06-30",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-01",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-02",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-03",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-04",,,"0.09","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-05",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-06",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-07",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-08",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-09",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-10",,,"0.67","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-11",,,"0.51","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-12",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-13",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-14",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-15",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-16",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-17",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-18",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-19",,,"0.21","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-20",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-21",,,"0.23","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-22",,,"0.12","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-23",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-24",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-25",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-26",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-27",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-28",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-29",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-30",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-07-31",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-01",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-02",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-03",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-04",,,"0.24","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-05",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-06",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-07",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-08",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-09",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-10",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-11",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-12",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-13",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-14",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-15",,,"1.12","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-16",,,"0.04","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-17",,,"0.14","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-18",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-19",,,"0.15","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-20",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-21",,,"1.24","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-22",,,"0.54","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-23",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-24",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-25",,,"0.04","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-26",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-27",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-28",,,"0.06","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-29",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-30",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-08-31",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-01",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-02",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-03",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-04",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-05",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-06",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-07",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-08",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-09",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-10",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-11",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-12",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-13",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-14",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-15",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-16",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-17",,,"0.52","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-18",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-19",,,"0.08","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-20",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-21",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-22",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-23",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-24",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-25",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-26",,,"0.18","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-27",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-28",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-29",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-09-30",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-01",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-02",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-03",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-04",,,"0.51","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-05",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-06",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-07",,,"0.69","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-08",,,,"0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-09",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-10",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-11",,,"0.55","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-12",,,"0.05","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-13",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-14",,,"0.06","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-15",,,"0.70","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-16",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-17",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-18",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-19",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-20",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-21",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-22",,,,"0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-23","    2","0.75",,"0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-24",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-25",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-26",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-27",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-28",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-29",,,"0.00","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-30",,,"0.08","0.0","0"
"USC00136076","NORTH ENGLISH, IA US","41.517","-92.0597","242.9","2017-10-31",,,"0.00","0.0","0"
